1432895484.61::RT @D1Locker: #d1lockermedia Tongue Out Like 23!!! #Dubnation #grind #hardwork #instahub #nbaplayoffs #playoffs #igers #amazing #\u2026 http:\/\/t\u2026,,
1432895525.1::RT @kublue0101: \u30ab\u30ea\u30fc\u304c8\u672c\u306e3P\u3092\u3057\u305a\u3081\u300132\u5f97\u70b9\u203c\ufe0e\u203c\ufe0e\n\u30a6\u30a9\u30fc\u30ea\u30a2\u30fc\u30ba\u304c4-2\u3067Conf.\u30d5\u30a1\u30a4\u30ca\u30eb\u9032\u51fa\u3092\u6c7a\u3081\u307e\u3057\u305f\u203c\ufe0e\u203c\ufe0e\n\n\u8d85\u7d76\u30d6\u30b6\u30fc\u30d3\u30fc\u30bf\u30fc\u3082\u70b8\u88c2\u203c\ufe0e\u203c\ufe0e\u203c\ufe0e\n #NBAPlayoffs #SPLASH #MVP http:\/\/t.co\/he2KX4\u2026,,
1432895561.98::RT @VVGenechtenNBA: @BucketsTV aflevering 9 staat online. Gast was @FrankVischsch http:\/\/t.co\/PJiQCLZl9w #sportam #NBAPlayoffs,,
1432895579.84::.@MiamiHEAT \nIf @DwyaneWade does not OPT OUT #HeatNation , plan on NOT making the #NBAPlayoffs AGAIN. Too slow. Too complacent. Too much ego,
1432895669.41::RT @kublue0101: \u30ab\u30ea\u30fc\u304c8\u672c\u306e3P\u3092\u3057\u305a\u3081\u300132\u5f97\u70b9\u203c\ufe0e\u203c\ufe0e\n\u30a6\u30a9\u30fc\u30ea\u30a2\u30fc\u30ba\u304c4-2\u3067Conf.\u30d5\u30a1\u30a4\u30ca\u30eb\u9032\u51fa\u3092\u6c7a\u3081\u307e\u3057\u305f\u203c\ufe0e\u203c\ufe0e\n\n\u8d85\u7d76\u30d6\u30b6\u30fc\u30d3\u30fc\u30bf\u30fc\u3082\u70b8\u88c2\u203c\ufe0e\u203c\ufe0e\u203c\ufe0e\n #NBAPlayoffs #SPLASH #MVP http:\/\/t.co\/he2KX4\u2026,,
1432895814.76::RT @in_nba: \u30db\u30fc\u30af\u30b9\u306e\u8a66\u5408\u4f1a\u5834\u3067\u8d77\u3053\u3063\u305f\u73cd\u4e8b\u4ef6\n\u30ab\u30e1\u30e9\u306b\u6620\u3063\u3066\u8208\u596e\u306e\u3042\u307e\u308a\u306b\u3002\n #NBAPlayoffs \nhttps:\/\/t.co\/gS2ctUQKHa,,
1432895960.88::RT @in_nba: \u672c\u65e5\u306e\u8a66\u5408\u524d\u30eb\u30fc\u30c6\u30a3\u30f3\u30b7\u30e7\u30c3\u30c8\u203c\ufe0e\n #NBAPlayoffs #SPLASH \n\nhttps:\/\/t.co\/abkpsvIKIC,,
1432895991.89::Tom Thibodeau out in Chicago as Bulls seek 'change in approach' http:\/\/t.co\/2SAZTFEUqT\n\u00a0-#NBAplayoffs,,
1432895996.82::#NBAPlayoffs El duelo Curry-LeBron, un duelo de promesas cumplidas. Se vienen las finales NBA. http:\/\/t.co\/jbfbyOkGhu http:\/\/t.co\/5PXDs4Z6OG,
1432896013.62::Father: Klay Thompson threw up, had other 'concussion-like symptoms' http:\/\/t.co\/ImR0zgfc9t\n\u00a0-#NBAplayoffs,
