1415490754	11:52:34 PM	6:52:35 PM	#forksup  Notre Dame \/ Arizona St (Last post on 11\/08\/2014 at 2	"54\u00a0PM\u00a0PST) #BUCKEYES						"								
1415490755	11:52:35 PM	6:52:35 PM	Michigan vs Northwestern (Last post on 11\/08\/2014 at 2	"57\u00a0PM\u00a0PST) #BUCKEYES						"								
1415490755	11:52:35 PM	6:52:36 PM	Auburn\/Texas A&amp;M (Last post on 11\/08\/2014 at 3	"10\u00a0PM\u00a0PST) #BUCKEYES						"								
1415490756	11:52:36 PM	6:52:36 PM	Buckeye flag flying high and proud in... (Last post on 11\/08\/2014 at 3	"22\u00a0PM\u00a0PST) #BUCKEYES						"								
1415490756	11:52:36 PM	6:52:36 PM	The Mailbox	" Pain\u2019s big part of football	 and photos showed it #BUCKEYES					"								
1415490774	11:52:54 PM	6:52:54 PM	Too pumped up for tonight lets get em Buckeyes!!! #ohiostate #buckeyes #beatmichst #bodybuilding\u2026 http	"\/\/t.co\/YXfeGPGZZF						"								
1415490812	11:53:32 PM	6:53:32 PM	Looks like traditional road unis for the #Buckeyes	" white jerseys	 gray pants and standard helmet.					"								
1415490817	11:53:37 PM	6:53:37 PM	Get your #OhioState #Buckeyes team colors on your devices &amp; other licensed products @ http	\/\/t.co\/8gp6R4J7PL http	"\/\/t.co\/Mpt6N3bS1N						"							
1415490835	11:53:55 PM	6:53:55 PM	"@CLESportsLife Here's a novel idea	 how about if #Buckeyes actually wear their traditional uniforms	 just for a change of pace? #OSUBUZZ				"									
1415490849	11:54:09 PM	6:54:09 PM	"This game needs to come on already \ud83d\ude29\ud83c\udfc8 lets go buckeyes! #BeatMSU @OhioStAthletics #OhioState						"									
1415490869	11:54:29 PM	6:54:29 PM	RT @Core6Athletes	 Less than 2 hours away. Who you got? RT for #OhioState FAV for #MichiganState #B1G #CollegeGameDay http	"\/\/t.co\/qna5mxlthj						"							
1415490887	11:54:47 PM	6:54:47 PM	RT @rollerCD	 Calm before the storm. #Buckeyes http	"\/\/t.co\/Rt0fdM4WWs						"							
1415490898	11:54:58 PM	6:54:58 PM	Who else is ready for the #OhioState Buckeyes vs the #MichiganState Spartans? We are! #BeatMSU http	"\/\/t.co\/PbYdogoB7m						"								
1415490913	11:55:13 PM	6:55:14 PM	RT @buckeyefansonly	" Good luck to @OSUCoachMeyer &amp; to all the #OhioState #Buckeyes coaches &amp; players! #GoBucks! \""@SammySilv #BeatSparty!\"" h\u2026						"								
1415490929	11:55:29 PM	6:55:29 PM	"Pros say #MichiganState has better defense&amp;offense than #OhioState. This has been the year of the upset&amp;underdog	 tho. #GoBucks! #OSUvsMSU					"									
1415490963	11:56:03 PM	6:56:03 PM	RT @buckeyefansonly	" Good luck to @OSUCoachMeyer &amp; to all the #OhioState #Buckeyes coaches &amp; players! #GoBucks! \""@SammySilv #BeatSparty!\"" h\u2026						"								
1415490978	11:56:18 PM	6:56:18 PM	"Cant say i dont like watchn #NotreDame go down. All bout moving up the ranking #GoBucks #Buckeyes						"									
1415490983	11:56:23 PM	6:56:24 PM	Can't wait. Go @OhioStAthletics #Buckeyes http	"\/\/t.co\/ZqDeLnMDTy						"								
1415490988	11:56:28 PM	6:56:28 PM	"So ND and Auburn are out... 2 down #Buckeyes						"									
1415491010	11:56:50 PM	6:56:51 PM	Got to visit the famous horseshoe stadium today! #OhioState #LetsGoBucks #OSU #Buckeyes #Amazing\u2026 http	"\/\/t.co\/saZFwinR59						"								
1415491018	11:56:58 PM	6:56:59 PM	RT @Core6Athletes	 Less than 2 hours away. Who you got? RT for #OhioState FAV for #MichiganState #B1G #CollegeGameDay http	"\/\/t.co\/qna5mxlthj						"							
1415491028	11:57:08 PM	6:57:09 PM	"#sports Cavs players read nice tweets about themselves	 prove world isn't so bad after all"	 If... http	"\/\/t.co\/cCEGMjy6kp #ohio #buckeyes					"							
1415491050	11:57:30 PM	6:57:31 PM	RT @TheGameColumbus	" Get To @SciotoDowns NOW-8p \n@Roy_Hall &amp; @RyanMitchell75 host #Buckeyes GameDay! Food	 Drinks	 Prizes	 Football &amp; FUN! \u2026			"								
1415491061	11:57:41 PM	6:57:41 PM	"Can't wait for my #Buckeyes						"									
1415491072	11:57:52 PM	6:57:52 PM	RT @Buckeyefanohio7	" \""@buckeyefan43612"	 http	"\/\/t.co\/pJmjtFdmEv\"" #GoBucks #Buckeyes #BuckeyeNation						"						
1415491094	11:58:14 PM	6:58:14 PM	"Maurice Clarett was seriously a freak RB in College. #OhioState						"									
1415491101	11:58:21 PM	6:58:21 PM	It's almost game time ! #OHIO #THEOHIOSTATEUNIVERSITY #BUCKEYES #GOBUCKS http	"\/\/t.co\/A9c1KlDGJO						"								
1415491123	11:58:43 PM	6:58:43 PM	"Kids feed beer cold getting ready for the #Buckeyes beat down of the Spartans						"									
1415491131	11:58:51 PM	6:58:51 PM	"OSU game!! \ud83c\udfc8\ud83c\udfc8 #Buckeyes #BuckeyeNation #OhioState \ud83d\ude4c						"									
1415491142	11:59:02 PM	6:59:02 PM	#bigten   #ncaa   #ohiostatefootball   #ohiostateVsmichigan   #OSU   #Buckeyes \u00a0 https	"\/\/t.co\/e1sPIsufFS						"								
1415491150	11:59:10 PM	6:59:10 PM	"HUGE game tonight... Fucking nervous	 #Buckeyes					"									
1415491189	11:59:49 PM	6:59:49 PM	Let's go #OhioState #BehindEnemyLines http	"\/\/t.co\/6GLwdcRz0N						"								
1415491189	11:59:49 PM	6:59:49 PM	RT @Buckeye_Nation	 College football kickoff	" Do or die for Spartans and Buckeyes	 Top 25 buzz ... - The Times #OhioState  \/\/ http"	"\/\/t.co\/3\u2026					"						
1415491189	11:59:49 PM	6:59:50 PM	Thumbs up for #OSU #Buckeyes pizza pride! http	"\/\/t.co\/9h4eDmNyDw						"								
1415491196	11:59:56 PM	6:59:56 PM	A Saturday Evening Read	 http	"\/\/t.co\/S0uFaoFXrY #OhioState #UrbanMeyer						"							
1415491207	12:00:07 AM	7:00:07 PM	"Big Ten	 SEC	 Big 12 showdowns impact playoff race By STEVE   http"	"\/\/t.co\/AqraKtqdvS\n  #bigten #buckeyes #ohiostate				"								
1415491211	12:00:11 AM	7:00:11 PM	RT @Core6Athletes	 Less than 2 hours away. Who you got? RT for #OhioState FAV for #MichiganState #B1G #CollegeGameDay http	"\/\/t.co\/qna5mxlthj						"							
1415491233	12:00:33 AM	7:00:33 PM	"Ohio State and Notre Dame both lost their following game after playing Navy this season. #Irish #Buckeyes						"									
1415491234	12:00:34 AM	7:00:34 PM	"Getting #nervous &amp; #excited for tonight's #OSUvsMSU game! LET'S GO BUCKS!\n\n#GoBucks #Buckeyes #OhioState #BuckeyeNation #BuckeyeLove						"									
1415491239	12:00:39 AM	7:00:39 PM	RT @LOLGamedaySigns	 If #OhioState beat anything other than their dick for the last 10 years you may get some respect!! #GameDaySigns http	"\u2026						"							
1415491258	12:00:58 AM	7:00:58 PM	"Retweet if you're PUMPED to watch the #Buckeyes tonight! #GoBucks #BeatSparty @Brutus_Buckeye @Buckeye_Corner  @osutraditions						"									
1415491297	12:01:37 AM	7:01:37 PM	"I'm ready for my Buckeyes to play! #OhioState @OhioStFootball						"									
1415491303	12:01:43 AM	7:01:43 PM	"C'mon Texas A&amp;M. #OhioState #Playoffs						"									
1415491309	12:01:49 AM	7:01:49 PM	Now here\u2019s a great way to end @CANRatMSU #AutumnFest! O - H!! #GoBucks http	"\/\/t.co\/NPoDMBiuak #OhioState #CFAES						"								
1415491315	12:01:55 AM	7:01:55 PM	"Tough loss for the #Irish.  #Buckeyes might be my love but #NotreDame will always be my mistress!						"									
1415491320	12:02:00 AM	7:02:00 PM	"@YaBoyAB #Buckeyes						"									
1415491334	12:02:14 AM	7:02:14 PM	Greetings from Spartan Stadium #buckeyes http	"\/\/t.co\/Ry7dSARCbA						"								
1415491347	12:02:27 AM	7:02:28 PM	RT @JAmericaCollege	" Retweet if you're PUMPED to watch the #Buckeyes tonight! #GoBucks #BeatSparty @Brutus_Buckeye @Buckeye_Corner  @osutra\u2026						"								
1415491357	12:02:37 AM	7:02:38 PM	"Looking forward tonight game #OhioState vs #MichiganState go buckeyes						"									
1415491358	12:02:38 AM	7:02:39 PM	RT @RyanGinnBSB	 Greetings from Spartan Stadium #buckeyes http	"\/\/t.co\/Ry7dSARCbA						"							
